행정구역,총인구수,연령구간인구수,2019년02월_계_0세
서울특별시  (1100000000),9770638,53738,53738
서울특별시 종로구 (1111000000),152880,593,593
서울특별시 종로구 청운효자동(1111051500),13010,66,66
서울특별시 종로구 사직동(1111053000),9584,43,43
서울특별시 종로구 삼청동(1111054000),2820,9,9
서울특별시 종로구 부암동(1111055000),10142,34,34
서울특별시 종로구 평창동(1111056000),18881,81,81
서울특별시 종로구 무악동(1111057000),8415,20,20
서울특별시 종로구 교남동(1111058000),10704,97,97
서울특별시 종로구 가회동(1111060000),4412,14,14
서울특별시 종로구 종로1.2.3.4가동(1111061500),7347,18,18
서울특별시 종로구 종로5.6가동(1111063000),5220,10,10
서울특별시 종로구 이화동(1111064000),8101,24,24
서울특별시 종로구 혜화동(1111065000),17016,40,40
서울특별시 종로구 창신제1동(1111067000),5338,10,10
서울특별시 종로구 창신제2동(1111068000),8753,32,32
서울특별시 종로구 창신제3동(1111069000),7213,43,43
서울특별시 종로구 숭인제1동(1111070000),6326,26,26
서울특별시 종로구 숭인제2동(1111071000),9598,26,26
서울특별시 중구 (1114000000),125995,693,693
서울특별시 중구 소공동(1114052000),2046,10,10
서울특별시 중구 회현동(1114054000),5364,16,16
서울특별시 중구 명동(1114055000),2808,14,14
서울특별시 중구 필동(1114057000),4042,21,21
서울특별시 중구 장충동(1114058000),4734,18,18
서울특별시 중구 광희동(1114059000),4932,9,9
서울특별시 중구 을지로동(1114060500),1760,6,6
서울특별시 중구 신당동(1114061500),7710,30,30
서울특별시 중구 다산동(1114062500),14610,54,54
서울특별시 중구 약수동(1114063500),17725,103,103
서울특별시 중구 청구동(1114064500),14594,97,97
서울특별시 중구 신당제5동(1114065000),9400,50,50
서울특별시 중구 동화동(1114066500),11024,66,66
서울특별시 중구 황학동(1114067000),12528,89,89
서울특별시 중구 중림동(1114068000),12718,110,110
서울특별시 용산구 (1117000000),229279,1249,1249
서울특별시 용산구 후암동(1117051000),18162,80,80
서울특별시 용산구 용산2가동(1117052000),10675,41,41
서울특별시 용산구 남영동(1117053000),7855,23,23
서울특별시 용산구 청파동(1117055500),20065,76,76
서울특별시 용산구 원효로제1동(1117056000),15575,138,138
서울특별시 용산구 원효로제2동(1117057000),14862,90,90
서울특별시 용산구 효창동(1117058000),9022,71,71
서울특별시 용산구 용문동(1117059000),12618,81,81
서울특별시 용산구 한강로동(1117062500),17792,93,93
서울특별시 용산구 이촌제1동(1117063000),28307,187,187
서울특별시 용산구 이촌제2동(1117064000),8946,90,90
서울특별시 용산구 이태원제1동(1117065000),7020,32,32
서울특별시 용산구 이태원제2동(1117066000),9413,36,36
서울특별시 용산구 한남동(1117068500),20619,111,111
서울특별시 용산구 서빙고동(1117069000),13468,53,53
서울특별시 용산구 보광동(1117070000),14880,47,47
서울특별시 성동구 (1120000000),307064,2169,2169
서울특별시 성동구 왕십리제2동(1120052000),17754,145,145
서울특별시 성동구 왕십리도선동(1120053500),27430,233,233
서울특별시 성동구 마장동(1120054000),23504,130,130
서울특별시 성동구 사근동(1120055000),11653,42,42
서울특별시 성동구 행당제1동(1120056000),16294,102,102
서울특별시 성동구 행당제2동(1120057000),24851,171,171
서울특별시 성동구 응봉동(1120058000),16243,90,90
서울특별시 성동구 금호1가동(1120059000),16054,129,129
서울특별시 성동구 금호2.3가동(1120061500),24189,213,213
서울특별시 성동구 금호4가동(1120062000),15273,152,152
서울특별시 성동구 옥수동(1120064500),27001,266,266
서울특별시 성동구 성수1가제1동(1120065000),17206,147,147
서울특별시 성동구 성수1가제2동(1120066000),15198,92,92
서울특별시 성동구 성수2가제1동(1120067000),17537,88,88
서울특별시 성동구 성수2가제3동(1120069000),11540,68,68
서울특별시 성동구 송정동(1120072000),11260,49,49
서울특별시 성동구 용답동(1120079000),14077,52,52
서울특별시 광진구 (1121500000),355387,2010,2010
