사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
May-23,1호선,150,서울역,1383395 ,1317062 ,221340 ,211295 
May-23,1호선,151,시청,672017 ,683164 ,93371 ,92606 
May-23,1호선,152,종각,961459 ,938722 ,154073 ,143949 
May-23,1호선,153,종로3가,513730 ,454635 ,318832 ,294026 
May-23,1호선,154,종로5가,492324 ,489056 ,275274 ,264438 
May-23,1호선,155,동대문,237662 ,228809 ,131381 ,131438 
May-23,1호선,156,신설동,294047 ,283536 ,120978 ,116895 
May-23,1호선,157,제기동,237588 ,227570 ,281634 ,302727 
May-23,1호선,158,청량리(서울시립대입구),354304 ,350667 ,268576 ,269941 
May-23,1호선,159,동묘앞,146784 ,154602 ,161080 ,163899 
May-23,2호선,201,시청,671046 ,633834 ,60018 ,54991 
May-23,2호선,202,을지로입구,1240802 ,1268374 ,103975 ,96307 
May-23,2호선,203,을지로3가,621118 ,607268 ,77106 ,75004 
May-23,2호선,204,을지로4가,317071 ,328403 ,81932 ,80824 
May-23,2호선,205,동대문역사문화공원(DDP),381719 ,441176 ,61801 ,67181 
May-23,2호선,206,신당,343211 ,362899 ,98679 ,100893 
May-23,2호선,207,상왕십리,355270 ,337678 ,69426 ,69879 
May-23,2호선,208,왕십리(성동구청),434259 ,377655 ,54368 ,48414 
May-23,2호선,209,한양대,376138 ,426614 ,15364 ,16240 
May-23,2호선,210,뚝섬,624420 ,656231 ,62969 ,63123 
May-23,2호선,211,성수,1033035 ,1157050 ,104553 ,106603 
May-23,2호선,212,건대입구,1066115 ,1124784 ,97476 ,101408 
May-23,2호선,213,구의(광진구청),595610 ,575231 ,107943 ,109168 
May-23,2호선,214,강변(동서울터미널),851805 ,808389 ,128510 ,123763 
May-23,2호선,215,잠실나루,343051 ,329945 ,91899 ,91936 
May-23,2호선,216,잠실(송파구청),2100551 ,2071419 ,218443 ,206352 
May-23,2호선,217,잠실새내,570990 ,571206 ,117157 ,115499 
May-23,2호선,218,종합운동장,375767 ,423597 ,61106 ,64926 
May-23,2호선,219,삼성(무역센터),1444890 ,1463501 ,121333 ,113387 
May-23,2호선,220,선릉,1300842 ,1150081 ,224684 ,197318 
May-23,2호선,221,역삼,1204572 ,1392729 ,147709 ,151255 
May-23,2호선,222,강남,2117612 ,2063949 ,158849 ,139697 
May-23,2호선,223,교대(법원.검찰청),729435 ,878560 ,151054 ,179796 
May-23,2호선,224,서초,537205 ,508254 ,87787 ,87348 
May-23,2호선,225,방배,457407 ,477256 ,80577 ,79690 
May-23,2호선,226,사당,961741 ,1092785 ,213403 ,205084 
May-23,2호선,227,낙성대(강감찬),717807 ,690354 ,111464 ,112570 
May-23,2호선,228,서울대입구(관악구청),1227696 ,1192751 ,183189 ,174741 
May-23,2호선,229,봉천,555986 ,506606 ,152660 ,152592 
May-23,2호선,230,신림,1486621 ,1430333 ,207915 ,205626 
May-23,2호선,231,신대방,637972 ,607814 ,135960 ,137376 
May-23,2호선,232,구로디지털단지,1465443 ,1441688 ,189668 ,189349 
May-23,2호선,233,대림(구로구청),601076 ,611787 ,133884 ,137744 
May-23,2호선,234,신도림,1254775 ,1243615 ,221507 ,207891 
May-23,2호선,235,문래,526008 ,548868 ,88429 ,87413 
May-23,2호선,236,영등포구청,510362 ,529357 ,102450 ,101964 
May-23,2호선,237,당산,492385 ,571653 ,61450 ,67686 
May-23,2호선,238,합정,908785 ,1001108 ,72532 ,73403 
May-23,2호선,239,홍대입구,1993284 ,2145437 ,101797 ,98680 
May-23,2호선,240,신촌,1080312 ,1058211 ,125929 ,117209 
May-23,2호선,241,이대,486035 ,529891 ,50554 ,53682 
May-23,2호선,242,아현,263745 ,244434 ,67189 ,65829 
May-23,2호선,243,충정로(경기대입구),238875 ,254063 ,49045 ,49070 
May-23,2호선,244,용답,72398 ,73495 ,18155 ,17929 
May-23,2호선,245,신답,38662 ,42588 ,10323 ,10939 
May-23,2호선,246,신설동,83106 ,77870 ,32146 ,33481 
May-23,2호선,247,도림천,27364 ,28286 ,8500 ,9452 
May-23,2호선,248,양천구청,155211 ,162240 ,53465 ,54283 
May-23,2호선,249,신정네거리,230960 ,238543 ,76202 ,78054 
May-23,2호선,250,용두(동대문구청),47140 ,45202 ,24320 ,25103 
May-23,3호선,309,지축,158635 ,156695 ,35103 ,33762 
May-23,3호선,310,구파발,516140 ,506723 ,131742 ,127185 
May-23,3호선,311,연신내,789420 ,744785 ,269133 ,260293 
May-23,3호선,312,불광,355320 ,381723 ,146088 ,162131 
