사용월,노선ID,노선번호,노선명,버스정류장ID,버스정류장명,승차승객수,하차승객수
23-Apr,11110897,17,0017번(청암동~이촌동),8501292,청암자이아파트,463,13
23-Apr,11110897,17,0017번(청암동~이촌동),9003185,청암동강변삼성아파트,1773,31
23-Apr,11110897,17,0017번(청암동~이촌동),72983,청심경로당,2974,46
23-Apr,11110897,17,0017번(청암동~이촌동),72984,원효2동주민센터,5125,132
23-Apr,11110897,17,0017번(청암동~이촌동),72985,산천동,6607,270
23-Apr,11110897,17,0017번(청암동~이촌동),72986,신창동세방아파트,6024,237
23-Apr,11110897,17,0017번(청암동~이촌동),72987,남이장군사당,1575,1481
23-Apr,11110897,17,0017번(청암동~이촌동),72988,새마을금고,4445,3624
23-Apr,11110897,17,0017번(청암동~이촌동),33066,용문시장,5478,1616
23-Apr,11110897,17,0017번(청암동~이촌동),72990,용산전자상가입구,2549,1000
23-Apr,11110897,17,0017번(청암동~이촌동),72991,신용산지하차도,1053,2240
23-Apr,11110897,17,0017번(청암동~이촌동),72992,용산역,26058,20504
23-Apr,11110897,17,0017번(청암동~이촌동),72314,용산푸르지오써밋,1165,1757
23-Apr,11110897,17,0017번(청암동~이촌동),72993,한강대교북단,6055,4857
23-Apr,11110897,17,0017번(청암동~이촌동),72994,서부이촌동입구,1831,9986
23-Apr,11110897,17,0017번(청암동~이촌동),72995,이촌2동대림아파트.새남터성지,840,9439
23-Apr,11110897,17,0017번(청암동~이촌동),72996,이촌2동주민센터,726,5822
23-Apr,11110897,17,0017번(청암동~이촌동),72997,성촌공원.포르쉐센터용산,173,1722
23-Apr,11110897,17,0017번(청암동~이촌동),73000,이촌119안전센터.성촌공원,268,1930
23-Apr,11110897,17,0017번(청암동~이촌동),72998,원효2동산호아파트후문,168,2477
23-Apr,11110897,17,0017번(청암동~이촌동),8003000,청암동강변삼성아파트,2428,3590
23-Apr,11110897,17,0017번(청암동~이촌동),9003186,원효2동산호아파트,4254,899
23-Apr,11110897,17,0017번(청암동~이촌동),9000272,원효로풍전아파트,2715,428
23-Apr,11110897,17,0017번(청암동~이촌동),9000367,성촌공원.포르쉐센터용산,2763,1064
23-Apr,11110897,17,0017번(청암동~이촌동),9000269,이촌2동주민센터,7593,962
23-Apr,11110897,17,0017번(청암동~이촌동),9000267,이촌2동대림아파트.새남터성지,10039,904
23-Apr,11110897,17,0017번(청암동~이촌동),9000266,이촌2동강변아파트,7758,3106
23-Apr,11110897,17,0017번(청암동~이촌동),9034958,한강대교북단.LG유플러스,6635,12145
23-Apr,11110897,17,0017번(청암동~이촌동),9034956,신용산역,4722,10579
23-Apr,11110897,17,0017번(청암동~이촌동),72972,신용산역,22879,9989
23-Apr,11110897,17,0017번(청암동~이촌동),72973,신용산지하차도,1153,4161
23-Apr,11110897,17,0017번(청암동~이촌동),72974,용산전자상가입구,713,4411
23-Apr,11110897,17,0017번(청암동~이촌동),8523,용문시장,1971,4381
23-Apr,11110897,17,0017번(청암동~이촌동),72976,새마을금고,6508,5159
23-Apr,11110897,17,0017번(청암동~이촌동),72977,남이장군사당,246,2603
23-Apr,11110897,17,0017번(청암동~이촌동),72978,신창동세방아파트,149,7535
23-Apr,11110897,17,0017번(청암동~이촌동),72979,산천동,156,6320
23-Apr,11110897,17,0017번(청암동~이촌동),72980,산천동리버힐삼성아파트,36,4525
23-Apr,11110897,17,0017번(청암동~이촌동),72981,삼성테마트,6,2178
23-Apr,11110897,17,0017번(청암동~이촌동),9003184,청암동강변삼성아파트,5,1312
23-Apr,11110897,17,0017번(청암동~이촌동),8601292,청암자이아파트(가상),6,329
23-Apr,11110448,1,01번(예장주차장~예장주차장),8502714,남산예장버스환승주차장,16954,1698
23-Apr,11110448,1,01번(예장주차장~예장주차장),72209,퇴계로3가.한옥마을.한국의집,13429,445
23-Apr,11110448,1,01번(예장주차장~예장주차장),72252,충무로역2번출구.대한극장앞,23547,931
23-Apr,11110448,1,01번(예장주차장~예장주차장),72253,퇴계로5가,4126,913
23-Apr,11110448,1,01번(예장주차장~예장주차장),8501882,장충문화체육센터.권기옥활동터,1619,1133
23-Apr,11110448,1,01번(예장주차장~예장주차장),8001549,동대입구역.장충동,32037,3668
23-Apr,11110448,1,01번(예장주차장~예장주차장),77897,국립극장.반얀트리호텔,13495,7360
23-Apr,11110448,1,01번(예장주차장~예장주차장),77898,남산북측순환로입구,5453,6573
23-Apr,11110448,1,01번(예장주차장~예장주차장),77296,남산서울타워,84286,79290
23-Apr,11110448,1,01번(예장주차장~예장주차장),8502663,남산도서관,7491,17028
23-Apr,11110448,1,01번(예장주차장~예장주차장),8785,백범광장,1824,4890
23-Apr,11110448,1,01번(예장주차장~예장주차장),8501336,힐튼호텔,1487,12029
23-Apr,11110448,1,01번(예장주차장~예장주차장),8000292,남대문시장악세사리전문상가,2585,15763
23-Apr,11110448,1,01번(예장주차장~예장주차장),9001343,시청앞,4969,16557
23-Apr,11110448,1,01번(예장주차장~예장주차장),9000548,서울신문사,6099,6664
23-Apr,11110448,1,01번(예장주차장~예장주차장),8002327,KT광화문지사,9817,7053
23-Apr,11110448,1,01번(예장주차장~예장주차장),8502884,국립고궁박물관,2052,6116
23-Apr,11110448,1,01번(예장주차장~예장주차장),8502885,청와대,6138,10844
23-Apr,11110448,1,01번(예장주차장~예장주차장),8502886,춘추문,6449,4550
23-Apr,11110448,1,01번(예장주차장~예장주차장),8502887,경복궁.국립민속박물관,8212,3389
23-Apr,11110448,1,01번(예장주차장~예장주차장),70171,안국역.인사동,5793,11684
23-Apr,11110448,1,01번(예장주차장~예장주차장),8502577,남인사마당,3846,3633
23-Apr,11110448,1,01번(예장주차장~예장주차장),70117,종로2가.삼일교,1292,4397
23-Apr,11110448,1,01번(예장주차장~예장주차장),9006461,남대문세무서.서울백병원,1320,10367
23-Apr,11110448,1,01번(예장주차장~예장주차장),8502715,남산예장버스환승주차장(종점가상),71,7336
23-Apr,11110449,411,0411번(용산차고지~AT센터),8502898,서울드래곤시티,756,10
23-Apr,11110449,411,0411번(용산차고지~AT센터),75986,용산전자상가.전자랜드,562,40
23-Apr,11110449,411,0411번(용산차고지~AT센터),9000275,원효로3가,1326,26
