사용월,노선ID,노선번호,노선명,버스정류장ID,버스정류장명,승차승객수,하차승객수
23-Jan,11110897,17,0017번(청암동~이촌동),1,청암자이아파트,509,9
23-Jan,11110897,17,0017번(청암동~이촌동),2,청암동강변삼성아파트,1693,24
23-Jan,11110897,17,0017번(청암동~이촌동),3,청심경로당,3040,44
23-Jan,11110897,17,0017번(청암동~이촌동),4,원효2동주민센터,4737,142
23-Jan,11110897,17,0017번(청암동~이촌동),5,산천동,5692,232
23-Jan,11110897,17,0017번(청암동~이촌동),6,신창동세방아파트,5416,222
23-Jan,11110897,17,0017번(청암동~이촌동),7,남이장군사당,1666,1490
23-Jan,11110897,17,0017번(청암동~이촌동),8,새마을금고,4415,3185
23-Jan,11110897,17,0017번(청암동~이촌동),9,용문시장,4900,1374
23-Jan,11110897,17,0017번(청암동~이촌동),10,용산전자상가입구,2292,869
23-Jan,11110897,17,0017번(청암동~이촌동),11,신용산지하차도,1090,2044
23-Jan,11110897,17,0017번(청암동~이촌동),12,용산역,26105,19421
23-Jan,11110897,17,0017번(청암동~이촌동),13,용산푸르지오써밋,1150,1649
23-Jan,11110897,17,0017번(청암동~이촌동),14,한강대교북단,5822,4640
23-Jan,11110897,17,0017번(청암동~이촌동),15,서부이촌동입구,1935,9971
23-Jan,11110897,17,0017번(청암동~이촌동),16,이촌2동대림아파트.새남터성지,734,8980
23-Jan,11110897,17,0017번(청암동~이촌동),17,이촌2동주민센터,759,5751
23-Jan,11110897,17,0017번(청암동~이촌동),18,성촌공원.포르쉐센터용산,127,1769
23-Jan,11110897,17,0017번(청암동~이촌동),19,이촌119안전센터.성촌공원,217,2004
23-Jan,11110897,17,0017번(청암동~이촌동),20,원효2동산호아파트후문,148,2412
23-Jan,11110897,17,0017번(청암동~이촌동),21,청암동강변삼성아파트,2153,3606
23-Jan,11110897,17,0017번(청암동~이촌동),22,원효2동산호아파트,3957,918
23-Jan,11110897,17,0017번(청암동~이촌동),23,원효로풍전아파트,2653,357
23-Jan,11110897,17,0017번(청암동~이촌동),24,성촌공원.포르쉐센터용산,2599,1003
23-Jan,11110897,17,0017번(청암동~이촌동),25,이촌2동주민센터,7067,925
23-Jan,11110897,17,0017번(청암동~이촌동),26,이촌2동대림아파트.새남터성지,9628,876
23-Jan,11110897,17,0017번(청암동~이촌동),27,이촌2동강변아파트,7704,2990
23-Jan,11110897,17,0017번(청암동~이촌동),28,한강대교북단.LG유플러스,5891,11477
23-Jan,11110897,17,0017번(청암동~이촌동),29,신용산역,4476,10099
23-Jan,11110897,17,0017번(청암동~이촌동),30,신용산역,22440,9726
23-Jan,11110897,17,0017번(청암동~이촌동),31,신용산지하차도,1049,4243
23-Jan,11110897,17,0017번(청암동~이촌동),32,용산전자상가입구,744,4201
23-Jan,11110897,17,0017번(청암동~이촌동),33,용문시장,1656,4130
23-Jan,11110897,17,0017번(청암동~이촌동),34,새마을금고,5715,4968
23-Jan,11110897,17,0017번(청암동~이촌동),35,남이장군사당,271,2450
23-Jan,11110897,17,0017번(청암동~이촌동),36,신창동세방아파트,110,7012
23-Jan,11110897,17,0017번(청암동~이촌동),37,산천동,123,5227
23-Jan,11110897,17,0017번(청암동~이촌동),38,산천동리버힐삼성아파트,34,4202
23-Jan,11110897,17,0017번(청암동~이촌동),39,삼성테마트,13,2099
23-Jan,11110897,17,0017번(청암동~이촌동),40,청암동강변삼성아파트,6,1267
23-Jan,11110897,17,0017번(청암동~이촌동),41,청암자이아파트(가상),1,361
23-Jan,11110448,1,01번(예장주차장~예장주차장),1,남산예장버스환승주차장,7062,480
23-Jan,11110448,1,01번(예장주차장~예장주차장),2,퇴계로3가.한옥마을.한국의집,6784,115
23-Jan,11110448,1,01번(예장주차장~예장주차장),3,충무로역2번출구.대한극장앞,13108,389
23-Jan,11110448,1,01번(예장주차장~예장주차장),4,퇴계로5가,2552,786
23-Jan,11110448,1,01번(예장주차장~예장주차장),5,장충문화체육센터.권기옥활동터,726,668
23-Jan,11110448,1,01번(예장주차장~예장주차장),6,동대입구역.장충동,20481,2221
23-Jan,11110448,1,01번(예장주차장~예장주차장),7,국립극장.반얀트리호텔,10143,5461
23-Jan,11110448,1,01번(예장주차장~예장주차장),8,남산북측순환로입구,2502,3039
23-Jan,11110448,1,01번(예장주차장~예장주차장),9,남산서울타워,49428,44260
23-Jan,11110448,1,01번(예장주차장~예장주차장),10,남산도서관,3837,9194
23-Jan,11110448,1,01번(예장주차장~예장주차장),11,백범광장,1096,2448
23-Jan,11110448,1,01번(예장주차장~예장주차장),12,힐튼호텔,952,8095
23-Jan,11110448,1,01번(예장주차장~예장주차장),13,남대문시장악세사리전문상가,1802,8076
23-Jan,11110448,1,01번(예장주차장~예장주차장),14,시청앞,3358,11298
23-Jan,11110448,1,01번(예장주차장~예장주차장),15,서울신문사,6243,4939
23-Jan,11110448,1,01번(예장주차장~예장주차장),16,KT광화문지사,6691,5235
23-Jan,11110448,1,01번(예장주차장~예장주차장),17,국립고궁박물관,1337,4448
23-Jan,11110448,1,01번(예장주차장~예장주차장),18,청와대,4186,7589
23-Jan,11110448,1,01번(예장주차장~예장주차장),19,춘추문,4837,3479
23-Jan,11110448,1,01번(예장주차장~예장주차장),20,경복궁.국립민속박물관,6438,3042
23-Jan,11110448,1,01번(예장주차장~예장주차장),21,안국역.인사동,4549,8754
23-Jan,11110448,1,01번(예장주차장~예장주차장),22,남인사마당,2613,2959
23-Jan,11110448,1,01번(예장주차장~예장주차장),23,종로2가.삼일교,878,3342
23-Jan,11110448,1,01번(예장주차장~예장주차장),24,남대문세무서.서울백병원,436,7939
23-Jan,11110448,1,01번(예장주차장~예장주차장),25,남산예장버스환승주차장(종점가상),17,3479
23-Jan,11110449,411,0411번(용산차고지~AT센터),1,서울드래곤시티,632,11
23-Jan,11110449,411,0411번(용산차고지~AT센터),2,용산전자상가.전자랜드,338,39
23-Jan,11110449,411,0411번(용산차고지~AT센터),3,원효로3가,1052,65
23-Jan,11110449,411,0411번(용산차고지~AT센터),4,원효로2가사거리,329,102
23-Jan,11110449,411,0411번(용산차고지~AT센터),5,남정초등학교,776,105
23-Jan,11110449,411,0411번(용산차고지~AT센터),6,용산꿈나무종합타운.보건분소,1015,642
23-Jan,11110449,411,0411번(용산차고지~AT센터),7,효창공원앞역.이봉창역사울림관,5775,1061
23-Jan,11110449,411,0411번(용산차고지~AT센터),8,국민은행효창동지점,799,933
23-Jan,11110449,411,0411번(용산차고지~AT센터),9,효창공원삼거리.윤봉길의사등묘역,482,2840
23-Jan,11110449,411,0411번(용산차고지~AT센터),10,숙명여대후문.이봉창활동터,713,1803
23-Jan,11110449,411,0411번(용산차고지~AT센터),11,효창공원후문,1756,1209
23-Jan,11110449,411,0411번(용산차고지~AT센터),12,한겨레신문사입구,620,1129
23-Jan,11110449,411,0411번(용산차고지~AT센터),13,대한노인회,927,793
23-Jan,11110449,411,0411번(용산차고지~AT센터),14,효창운동장.효창동주민센터,698,175
23-Jan,11110449,411,0411번(용산차고지~AT센터),15,서울금양초등학교.국민은행효창동지점,1098,426
23-Jan,11110449,411,0411번(용산차고지~AT센터),16,효창공원앞역.이봉창역사울림관,5154,1829
23-Jan,11110449,411,0411번(용산차고지~AT센터),17,용산꿈나무종합타운.보건분소,1098,419
23-Jan,11110449,411,0411번(용산차고지~AT센터),18,원효로2가,2320,849
23-Jan,11110449,411,0411번(용산차고지~AT센터),19,원효로3가,2975,1526
23-Jan,11110449,411,0411번(용산차고지~AT센터),20,원효풍전아파트,1611,1017
23-Jan,11110449,411,0411번(용산차고지~AT센터),21,성촌공원.포르쉐센터용산,2279,1646
23-Jan,11110449,411,0411번(용산차고지~AT센터),22,이촌2동주민센터,3117,2024
23-Jan,11110449,411,0411번(용산차고지~AT센터),23,이촌2동대림아파트.새남터성지,3315,1503
23-Jan,11110449,411,0411번(용산차고지~AT센터),24,이촌2동강변아파트,5022,1690
23-Jan,11110449,411,0411번(용산차고지~AT센터),25,이촌동동부센트레빌,1211,1412
23-Jan,11110449,411,0411번(용산차고지~AT센터),26,이촌1동충신교회앞,3176,2907
23-Jan,11110449,411,0411번(용산차고지~AT센터),27,이촌동한강맨션.이촌역,5465,4394
23-Jan,11110449,411,0411번(용산차고지~AT센터),28,신용산초등학교,3488,2127
23-Jan,11110449,411,0411번(용산차고지~AT센터),29,이촌동점보아파트,5506,2158
23-Jan,11110449,411,0411번(용산차고지~AT센터),30,금강병원.반도아파트,2033,1894
23-Jan,11110449,411,0411번(용산차고지~AT센터),31,서빙고신동아아파트,4343,2998
23-Jan,11110449,411,0411번(용산차고지~AT센터),32,동작대교전망카페,505,426
23-Jan,11110449,411,0411번(용산차고지~AT센터),33,구반포역.세화고등학교,1289,3607
23-Jan,11110449,411,0411번(용산차고지~AT센터),34,신반포역.세화여중고,2372,3173
23-Jan,11110449,411,0411번(용산차고지~AT센터),35,고속터미널,12083,11722
23-Jan,11110449,411,0411번(용산차고지~AT센터),36,반포미도아파트앞,13703,11555
23-Jan,11110449,411,0411번(용산차고지~AT센터),37,법조단지,1579,3621
23-Jan,11110449,411,0411번(용산차고지~AT센터),38,지하철2호선교대역2,2273,9333
23-Jan,11110449,411,0411번(용산차고지~AT센터),39,서초동유원아파트,1517,1865
23-Jan,11110449,411,0411번(용산차고지~AT센터),40,롯데칠성,370,2456
23-Jan,11110449,411,0411번(용산차고지~AT센터),41,신분당선강남역,1244,5431
