사용월,노선ID,노선번호,노선명,버스정류장ID,버스정류장명,승차승객수,하차승객수
23-May,11110897,17,0017번(청암동~이촌동),8501292,청암자이아파트,519,15
23-May,11110897,17,0017번(청암동~이촌동),9003185,청암동강변삼성아파트,1818,47
23-May,11110897,17,0017번(청암동~이촌동),72983,청심경로당,2900,58
23-May,11110897,17,0017번(청암동~이촌동),72984,원효2동주민센터,5398,169
23-May,11110897,17,0017번(청암동~이촌동),72985,산천동,7003,233
23-May,11110897,17,0017번(청암동~이촌동),72986,신창동세방아파트,6376,264
23-May,11110897,17,0017번(청암동~이촌동),72987,남이장군사당,1599,1544
23-May,11110897,17,0017번(청암동~이촌동),72988,새마을금고,4886,3915
23-May,11110897,17,0017번(청암동~이촌동),33066,용문시장,5814,1729
23-May,11110897,17,0017번(청암동~이촌동),72990,용산전자상가입구,2960,1110
23-May,11110897,17,0017번(청암동~이촌동),72991,신용산지하차도,4254,5013
23-May,11110897,17,0017번(청암동~이촌동),72992,용산역,24857,19958
23-May,11110897,17,0017번(청암동~이촌동),72314,용산푸르지오써밋,1063,1526
23-May,11110897,17,0017번(청암동~이촌동),72993,한강대교북단,5634,4830
23-May,11110897,17,0017번(청암동~이촌동),72994,서부이촌동입구,1914,10213
23-May,11110897,17,0017번(청암동~이촌동),72995,이촌2동대림아파트.새남터성지,827,9542
23-May,11110897,17,0017번(청암동~이촌동),72996,이촌2동주민센터,719,5991
23-May,11110897,17,0017번(청암동~이촌동),72997,성촌공원.포르쉐센터용산,161,1860
23-May,11110897,17,0017번(청암동~이촌동),73000,이촌119안전센터.성촌공원,259,2068
23-May,11110897,17,0017번(청암동~이촌동),72998,원효2동산호아파트후문,201,2576
23-May,11110897,17,0017번(청암동~이촌동),8003000,청암동강변삼성아파트,2554,3656
23-May,11110897,17,0017번(청암동~이촌동),9003186,원효2동산호아파트,4122,949
23-May,11110897,17,0017번(청암동~이촌동),9000272,원효로풍전아파트,2849,407
23-May,11110897,17,0017번(청암동~이촌동),9000367,성촌공원.포르쉐센터용산,2854,1038
23-May,11110897,17,0017번(청암동~이촌동),9000269,이촌2동주민센터,8054,1001
23-May,11110897,17,0017번(청암동~이촌동),9000267,이촌2동대림아파트.새남터성지,10294,908
23-May,11110897,17,0017번(청암동~이촌동),9000266,이촌2동강변아파트,8103,3134
23-May,11110897,17,0017번(청암동~이촌동),9034958,한강대교북단.LG유플러스,7022,12695
23-May,11110897,17,0017번(청암동~이촌동),9034956,신용산역,6468,12202
23-May,11110897,17,0017번(청암동~이촌동),72972,신용산역,22937,10963
23-May,11110897,17,0017번(청암동~이촌동),72973,신용산지하차도,839,3341
23-May,11110897,17,0017번(청암동~이촌동),72974,용산전자상가입구,704,4249
23-May,11110897,17,0017번(청암동~이촌동),8523,용문시장,1909,4586
