사용월,노선ID,노선번호,노선명,버스정류장ID,버스정류장명,승차승객수,하차승객수,
Feb-23,11110897,17,0017번(청암동~이촌동),1,청암자이아파트,456 ,6 ,
Feb-23,11110897,17,0017번(청암동~이촌동),2,청암동강변삼성아파트,1694 ,22 ,
Feb-23,11110897,17,0017번(청암동~이촌동),3,청심경로당,2844 ,32 ,
Feb-23,11110897,17,0017번(청암동~이촌동),4,원효2동주민센터,4603 ,125 ,
Feb-23,11110897,17,0017번(청암동~이촌동),5,산천동,5603 ,209 ,
Feb-23,11110897,17,0017번(청암동~이촌동),6,신창동세방아파트,5259 ,213 ,
Feb-23,11110897,17,0017번(청암동~이촌동),7,남이장군사당,1517 ,1317 ,
Feb-23,11110897,17,0017번(청암동~이촌동),8,새마을금고,4271 ,3209 ,
Feb-23,11110897,17,0017번(청암동~이촌동),9,용문시장,4807 ,1336 ,
Feb-23,11110897,17,0017번(청암동~이촌동),10,용산전자상가입구,2283 ,925 ,
Feb-23,11110897,17,0017번(청암동~이촌동),11,신용산지하차도,986 ,2084 ,
Feb-23,11110897,17,0017번(청암동~이촌동),12,용산역,25459 ,18615 ,
Feb-23,11110897,17,0017번(청암동~이촌동),13,용산푸르지오써밋,1085 ,1605 ,
Feb-23,11110897,17,0017번(청암동~이촌동),14,한강대교북단,5756 ,4655 ,
Feb-23,11110897,17,0017번(청암동~이촌동),15,서부이촌동입구,1727 ,9545 ,
Feb-23,11110897,17,0017번(청암동~이촌동),16,이촌2동대림아파트.새남터성지,632 ,8858 ,
Feb-23,11110897,17,0017번(청암동~이촌동),17,이촌2동주민센터,671 ,5563 ,
Feb-23,11110897,17,0017번(청암동~이촌동),18,성촌공원.포르쉐센터용산,158 ,1702 ,
Feb-23,11110897,17,0017번(청암동~이촌동),19,이촌119안전센터.성촌공원,211 ,1917 ,
Feb-23,11110897,17,0017번(청암동~이촌동),20,원효2동산호아파트후문,154 ,2310 ,
Feb-23,11110897,17,0017번(청암동~이촌동),21,청암동강변삼성아파트,2108 ,3504 ,
Feb-23,11110897,17,0017번(청암동~이촌동),22,원효2동산호아파트,3926 ,839 ,
Feb-23,11110897,17,0017번(청암동~이촌동),23,원효로풍전아파트,2438 ,328 ,
Feb-23,11110897,17,0017번(청암동~이촌동),24,성촌공원.포르쉐센터용산,2680 ,1018 ,
Feb-23,11110897,17,0017번(청암동~이촌동),25,이촌2동주민센터,7025 ,870 ,
Feb-23,11110897,17,0017번(청암동~이촌동),26,이촌2동대림아파트.새남터성지,9239 ,799 ,
Feb-23,11110897,17,0017번(청암동~이촌동),27,이촌2동강변아파트,7399 ,2864 ,
Feb-23,11110897,17,0017번(청암동~이촌동),28,한강대교북단.LG유플러스,5847 ,11347 ,
Feb-23,11110897,17,0017번(청암동~이촌동),29,신용산역,4323 ,9797 ,
Feb-23,11110897,17,0017번(청암동~이촌동),30,신용산역,21781 ,9475 ,
