사용월,노선ID,노선번호,노선명,버스정류장ID,버스정류장명,승차승객수,하차승객수
Jun-23,11110897,17,0017번(청암동~이촌동),8501292,청암자이아파트,527 ,4 
Jun-23,11110897,17,0017번(청암동~이촌동),9003185,청암동강변삼성아파트,2039 ,39 
Jun-23,11110897,17,0017번(청암동~이촌동),72983,청심경로당,3078 ,57 
Jun-23,11110897,17,0017번(청암동~이촌동),72984,원효2동주민센터,5226 ,165 
Jun-23,11110897,17,0017번(청암동~이촌동),72985,산천동,7121 ,287 
Jun-23,11110897,17,0017번(청암동~이촌동),72986,신창동세방아파트,6375 ,281 
Jun-23,11110897,17,0017번(청암동~이촌동),72987,남이장군사당,1656 ,1553 
Jun-23,11110897,17,0017번(청암동~이촌동),72988,새마을금고,4987 ,3919 
Jun-23,11110897,17,0017번(청암동~이촌동),33066,용문시장,6074 ,1859 
Jun-23,11110897,17,0017번(청암동~이촌동),72990,용산전자상가입구,3016 ,1083 
Jun-23,11110897,17,0017번(청암동~이촌동),72991,신용산지하차도,5966 ,6941 
Jun-23,11110897,17,0017번(청암동~이촌동),72992,용산역,23316 ,18275 
Jun-23,11110897,17,0017번(청암동~이촌동),72314,용산푸르지오써밋,1461 ,1664 
Jun-23,11110897,17,0017번(청암동~이촌동),72993,한강대교북단,6456 ,5286 
Jun-23,11110897,17,0017번(청암동~이촌동),72994,서부이촌동입구,2043 ,10469 
Jun-23,11110897,17,0017번(청암동~이촌동),72995,이촌2동대림아파트.새남터성지,732 ,9912 
Jun-23,11110897,17,0017번(청암동~이촌동),72996,이촌2동주민센터,731 ,6324 
Jun-23,11110897,17,0017번(청암동~이촌동),72997,성촌공원.포르쉐센터용산,148 ,1898 
Jun-23,11110897,17,0017번(청암동~이촌동),73000,이촌119안전센터.성촌공원,261 ,1921 
Jun-23,11110897,17,0017번(청암동~이촌동),72998,원효2동산호아파트후문,213 ,2763 
Jun-23,11110897,17,0017번(청암동~이촌동),8003000,청암동강변삼성아파트,2669 ,3874 
Jun-23,11110897,17,0017번(청암동~이촌동),9003186,원효2동산호아파트,4121 ,901 
Jun-23,11110897,17,0017번(청암동~이촌동),9000272,원효로풍전아파트,3008 ,368 
Jun-23,11110897,17,0017번(청암동~이촌동),9000367,성촌공원.포르쉐센터용산,3015 ,1107 
Jun-23,11110897,17,0017번(청암동~이촌동),9000269,이촌2동주민센터,8257 ,998 
Jun-23,11110897,17,0017번(청암동~이촌동),9000267,이촌2동대림아파트.새남터성지,10939 ,1017 
Jun-23,11110897,17,0017번(청암동~이촌동),9000266,이촌2동강변아파트,8313 ,3365 
Jun-23,11110897,17,0017번(청암동~이촌동),9034958,한강대교북단.LG유플러스,7182 ,12970 
Jun-23,11110897,17,0017번(청암동~이촌동),9034956,신용산역,5571 ,12094 
Jun-23,11110897,17,0017번(청암동~이촌동),72972,신용산역,23408 ,10607 
Jun-23,11110897,17,0017번(청암동~이촌동),72973,신용산지하차도,1291 ,4332 
Jun-23,11110897,17,0017번(청암동~이촌동),72974,용산전자상가입구,789 ,4645 
Jun-23,11110897,17,0017번(청암동~이촌동),8523,용문시장,2108 ,4919 
Jun-23,11110897,17,0017번(청암동~이촌동),72976,새마을금고,6975 ,5392 
Jun-23,11110897,17,0017번(청암동~이촌동),72977,남이장군사당,262 ,2517 
Jun-23,11110897,17,0017번(청암동~이촌동),72978,신창동세방아파트,194 ,8240 
Jun-23,11110897,17,0017번(청암동~이촌동),72979,산천동,158 ,6557 
Jun-23,11110897,17,0017번(청암동~이촌동),72980,산천동리버힐삼성아파트,46 ,4560 
Jun-23,11110897,17,0017번(청암동~이촌동),72981,삼성테마트,12 ,2222 
Jun-23,11110897,17,0017번(청암동~이촌동),9003184,청암동강변삼성아파트,11 ,1354 
Jun-23,11110897,17,0017번(청암동~이촌동),8601292,청암자이아파트(가상),2 ,320 
Jun-23,11110448,1,01번(예장주차장~예장주차장),8502714,남산예장버스환승주차장,12870 ,1332 
Jun-23,11110448,1,01번(예장주차장~예장주차장),72209,퇴계로3가.한옥마을.한국의집,9531 ,339 
Jun-23,11110448,1,01번(예장주차장~예장주차장),72252,충무로역2번출구.대한극장앞,17841 ,943 
Jun-23,11110448,1,01번(예장주차장~예장주차장),72253,퇴계로5가,3323 ,983 
Jun-23,11110448,1,01번(예장주차장~예장주차장),8501882,장충문화체육센터.권기옥활동터,1212 ,1054 
Jun-23,11110448,1,01번(예장주차장~예장주차장),8001549,동대입구역.장충동,26385 ,3296 
Jun-23,11110448,1,01번(예장주차장~예장주차장),77897,국립극장.반얀트리호텔,11842 ,7490 
Jun-23,11110448,1,01번(예장주차장~예장주차장),77898,남산북측순환로입구,4715 ,4159 
Jun-23,11110448,1,01번(예장주차장~예장주차장),77296,남산서울타워,64390 ,59500 
Jun-23,11110448,1,01번(예장주차장~예장주차장),8502663,남산도서관,5770 ,12812 
Jun-23,11110448,1,01번(예장주차장~예장주차장),8785,백범광장,1751 ,3583 
Jun-23,11110448,1,01번(예장주차장~예장주차장),8501336,힐튼호텔,1356 ,9571 
Jun-23,11110448,1,01번(예장주차장~예장주차장),8000292,남대문시장악세사리전문상가,2634 ,12918 
Jun-23,11110448,1,01번(예장주차장~예장주차장),9001343,시청앞,4860 ,14284 
Jun-23,11110448,1,01번(예장주차장~예장주차장),9000548,서울신문사,5695 ,6336 
Jun-23,11110448,1,01번(예장주차장~예장주차장),8002327,KT광화문지사,11125 ,6830 
Jun-23,11110448,1,01번(예장주차장~예장주차장),8502884,국립고궁박물관,1825 ,5617 
Jun-23,11110448,1,01번(예장주차장~예장주차장),8502885,청와대,8155 ,11575 
Jun-23,11110448,1,01번(예장주차장~예장주차장),8502886,춘추문,6685 ,4820 
Jun-23,11110448,1,01번(예장주차장~예장주차장),8502887,경복궁.국립민속박물관,8017 ,3541 
Jun-23,11110448,1,01번(예장주차장~예장주차장),70171,안국역.인사동,5245 ,12386 
Jun-23,11110448,1,01번(예장주차장~예장주차장),8502577,남인사마당,3733 ,4193 
Jun-23,11110448,1,01번(예장주차장~예장주차장),70117,종로2가.삼일교,955 ,4337 
Jun-23,11110448,1,01번(예장주차장~예장주차장),9006461,남대문세무서.서울백병원,680 ,10420 
Jun-23,11110448,1,01번(예장주차장~예장주차장),8502715,남산예장버스환승주차장(종점가상),17 ,4059 
Jun-23,11110449,411,0411번(용산차고지~AT센터),8502898,서울드래곤시티,900 ,24 
Jun-23,11110449,411,0411번(용산차고지~AT센터),75986,용산전자상가.전자랜드,569 ,33 
Jun-23,11110449,411,0411번(용산차고지~AT센터),9000275,원효로3가,1426 ,66 
Jun-23,11110449,411,0411번(용산차고지~AT센터),8000301,원효로2가사거리,480 ,103 
Jun-23,11110449,411,0411번(용산차고지~AT센터),9000277,남정초등학교,957 ,139 
Jun-23,11110449,411,0411번(용산차고지~AT센터),14662,용산꿈나무종합타운.보건분소,1890 ,816 
Jun-23,11110449,411,0411번(용산차고지~AT센터),73693,효창공원앞역.이봉창역사울림관,11066 ,1281 
Jun-23,11110449,411,0411번(용산차고지~AT센터),8541,효창동주민센터.금양초등학교,1057 ,1168 
Jun-23,11110449,411,0411번(용산차고지~AT센터),8501150,효창공원삼거리.윤봉길의사등묘역,1292 ,6175 
Jun-23,11110449,411,0411번(용산차고지~AT센터),8552,숙명여대후문.이봉창활동터,1973 ,4458 
Jun-23,11110449,411,0411번(용산차고지~AT센터),8545,효창공원후문,2011 ,1492 
Jun-23,11110449,411,0411번(용산차고지~AT센터),8510,한겨레신문사입구,714 ,1381 
Jun-23,11110449,411,0411번(용산차고지~AT센터),33062,대한노인회,1115 ,1086 
Jun-23,11110449,411,0411번(용산차고지~AT센터),13067,효창운동장.효창동주민센터,1012 ,212 
