사용월,노선ID,노선번호,노선명,버스정류장ID,버스정류장명,승차승객수,하차승객수
Aug-23,11110897,17,0017번(청암동~이촌동),8501292,청암자이아파트,724 ,178 
Aug-23,11110897,17,0017번(청암동~이촌동),9003185,청암동강변삼성아파트,2098 ,40 
Aug-23,11110897,17,0017번(청암동~이촌동),72983,청심경로당,3040 ,55 
Aug-23,11110897,17,0017번(청암동~이촌동),72984,원효2동주민센터,5264 ,169 
Aug-23,11110897,17,0017번(청암동~이촌동),72985,산천동,7340 ,365 
Aug-23,11110897,17,0017번(청암동~이촌동),72986,신창동세방아파트,7298 ,356 
Aug-23,11110897,17,0017번(청암동~이촌동),72987,남이장군사당,1797 ,1620 
Aug-23,11110897,17,0017번(청암동~이촌동),72988,새마을금고,5087 ,4007 
Aug-23,11110897,17,0017번(청암동~이촌동),33066,용문시장,6114 ,2043 
Aug-23,11110897,17,0017번(청암동~이촌동),72990,용산전자상가입구,3559 ,1188 
Aug-23,11110897,17,0017번(청암동~이촌동),72991,신용산지하차도,1416 ,2553 
Aug-23,11110897,17,0017번(청암동~이촌동),72992,용산역,29588 ,23852 
Aug-23,11110897,17,0017번(청암동~이촌동),72314,용산푸르지오써밋,1526 ,1868 
Aug-23,11110897,17,0017번(청암동~이촌동),72993,한강대교북단,6707 ,5981 
Aug-23,11110897,17,0017번(청암동~이촌동),72994,서부이촌동입구,2064 ,11517 
Aug-23,11110897,17,0017번(청암동~이촌동),72995,이촌2동대림아파트.새남터성지,849 ,9932 
Aug-23,11110897,17,0017번(청암동~이촌동),72996,이촌2동주민센터,832 ,6289 
Aug-23,11110897,17,0017번(청암동~이촌동),72997,성촌공원.포르쉐센터용산,191 ,2219 
Aug-23,11110897,17,0017번(청암동~이촌동),73000,이촌119안전센터.성촌공원,256 ,1785 
Aug-23,11110897,17,0017번(청암동~이촌동),72998,원효2동산호아파트후문,220 ,2906 
Aug-23,11110897,17,0017번(청암동~이촌동),8003000,청암동강변삼성아파트,2740 ,3900 
Aug-23,11110897,17,0017번(청암동~이촌동),9003186,원효2동산호아파트,4273 ,1130 
Aug-23,11110897,17,0017번(청암동~이촌동),9000272,원효로풍전아파트,3328 ,482 
Aug-23,11110897,17,0017번(청암동~이촌동),9000367,성촌공원.포르쉐센터용산,3115 ,1173 
Aug-23,11110897,17,0017번(청암동~이촌동),9000269,이촌2동주민센터,8182 ,1131 
