사용월,노선ID,노선번호,노선명,버스정류장ID,버스정류장명,승차승객수,하차승객수
Jul-23,11110897,17,0017번(청암동~이촌동),8501292,청암자이아파트,576 ,15 
Jul-23,11110897,17,0017번(청암동~이촌동),9003185,청암동강변삼성아파트,2117 ,39 
Jul-23,11110897,17,0017번(청암동~이촌동),72983,청심경로당,3237 ,63 
Jul-23,11110897,17,0017번(청암동~이촌동),72984,원효2동주민센터,5420 ,172 
Jul-23,11110897,17,0017번(청암동~이촌동),72985,산천동,7368 ,309 
Jul-23,11110897,17,0017번(청암동~이촌동),72986,신창동세방아파트,6940 ,322 
Jul-23,11110897,17,0017번(청암동~이촌동),72987,남이장군사당,1774 ,1770 
Jul-23,11110897,17,0017번(청암동~이촌동),72988,새마을금고,5070 ,3925 
Jul-23,11110897,17,0017번(청암동~이촌동),33066,용문시장,5984 ,1897 
Jul-23,11110897,17,0017번(청암동~이촌동),72990,용산전자상가입구,3691 ,1073 
Jul-23,11110897,17,0017번(청암동~이촌동),72991,신용산지하차도,1290 ,2637 
Jul-23,11110897,17,0017번(청암동~이촌동),72992,용산역,29947 ,24004 
Jul-23,11110897,17,0017번(청암동~이촌동),72314,용산푸르지오써밋,1471 ,1892 
Jul-23,11110897,17,0017번(청암동~이촌동),72993,한강대교북단,6985 ,5790 
Jul-23,11110897,17,0017번(청암동~이촌동),72994,서부이촌동입구,2125 ,11552 
Jul-23,11110897,17,0017번(청암동~이촌동),72995,이촌2동대림아파트.새남터성지,807 ,10266 
Jul-23,11110897,17,0017번(청암동~이촌동),72996,이촌2동주민센터,788 ,6441 
Jul-23,11110897,17,0017번(청암동~이촌동),72997,성촌공원.포르쉐센터용산,168 ,2045 
Jul-23,11110897,17,0017번(청암동~이촌동),73000,이촌119안전센터.성촌공원,240 ,1881 
Jul-23,11110897,17,0017번(청암동~이촌동),72998,원효2동산호아파트후문,184 ,2908 
Jul-23,11110897,17,0017번(청암동~이촌동),8003000,청암동강변삼성아파트,2773 ,4066 
Jul-23,11110897,17,0017번(청암동~이촌동),9003186,원효2동산호아파트,4216 ,1023 
Jul-23,11110897,17,0017번(청암동~이촌동),9000272,원효로풍전아파트,3124 ,419 
Jul-23,11110897,17,0017번(청암동~이촌동),9000367,성촌공원.포르쉐센터용산,3013 ,1105 
Jul-23,11110897,17,0017번(청암동~이촌동),9000269,이촌2동주민센터,8519 ,1087 
Jul-23,11110897,17,0017번(청암동~이촌동),9000267,이촌2동대림아파트.새남터성지,11415 ,962 
Jul-23,11110897,17,0017번(청암동~이촌동),9000266,이촌2동강변아파트,8976 ,3438 
Jul-23,11110897,17,0017번(청암동~이촌동),9034958,한강대교북단.LG유플러스,7294 ,13235 
Jul-23,11110897,17,0017번(청암동~이촌동),9034956,신용산역,5140 ,12583 
Jul-23,11110897,17,0017번(청암동~이촌동),72972,신용산역,25676 ,10901 
Jul-23,11110897,17,0017번(청암동~이촌동),72973,신용산지하차도,1348 ,5055 
Jul-23,11110897,17,0017번(청암동~이촌동),72974,용산전자상가입구,838 ,5523 
Jul-23,11110897,17,0017번(청암동~이촌동),8523,용문시장,2239 ,4916 
Jul-23,11110897,17,0017번(청암동~이촌동),72976,새마을금고,6838 ,5517 
Jul-23,11110897,17,0017번(청암동~이촌동),72977,남이장군사당,332 ,2739 
Jul-23,11110897,17,0017번(청암동~이촌동),72978,신창동세방아파트,181 ,8486 
Jul-23,11110897,17,0017번(청암동~이촌동),72979,산천동,207 ,6589 
Jul-23,11110897,17,0017번(청암동~이촌동),72980,산천동리버힐삼성아파트,51 ,4582 
Jul-23,11110897,17,0017번(청암동~이촌동),72981,삼성테마트,17 ,2298 
Jul-23,11110897,17,0017번(청암동~이촌동),9003184,청암동강변삼성아파트,2 ,1523 
Jul-23,11110897,17,0017번(청암동~이촌동),8601292,청암자이아파트(가상),7 ,314 
Jul-23,11110448,1,01번(예장주차장~예장주차장),8502714,남산예장버스환승주차장,12925 ,2057 
Jul-23,11110448,1,01번(예장주차장~예장주차장),72209,퇴계로3가.한옥마을.한국의집,8542 ,338 
Jul-23,11110448,1,01번(예장주차장~예장주차장),72252,충무로역2번출구.대한극장앞,15436 ,884 
Jul-23,11110448,1,01번(예장주차장~예장주차장),72253,퇴계로5가,3054 ,1123 
Jul-23,11110448,1,01번(예장주차장~예장주차장),8501882,장충문화체육센터.권기옥활동터,1132 ,1161 
Jul-23,11110448,1,01번(예장주차장~예장주차장),8001549,동대입구역.장충동,24395 ,3190 
Jul-23,11110448,1,01번(예장주차장~예장주차장),77897,국립극장.반얀트리호텔,11855 ,7552 
Jul-23,11110448,1,01번(예장주차장~예장주차장),77898,남산북측순환로입구,3867 ,3415 
Jul-23,11110448,1,01번(예장주차장~예장주차장),77296,남산서울타워,60466 ,54015 
Jul-23,11110448,1,01번(예장주차장~예장주차장),8502663,남산도서관,6143 ,13163 
Jul-23,11110448,1,01번(예장주차장~예장주차장),8785,백범광장,1717 ,2823 
Jul-23,11110448,1,01번(예장주차장~예장주차장),8501336,힐튼호텔,1612 ,9028 
Jul-23,11110448,1,01번(예장주차장~예장주차장),8000292,남대문시장악세사리전문상가,2013 ,11415 
Jul-23,11110448,1,01번(예장주차장~예장주차장),9001343,시청앞,4310 ,12779 
Jul-23,11110448,1,01번(예장주차장~예장주차장),9000548,서울신문사,4061 ,5784 
Jul-23,11110448,1,01번(예장주차장~예장주차장),8002327,KT광화문지사,8122 ,6404 
Jul-23,11110448,1,01번(예장주차장~예장주차장),8502884,국립고궁박물관,1603 ,4458 
Jul-23,11110448,1,01번(예장주차장~예장주차장),8502885,청와대,5711 ,7232 
Jul-23,11110448,1,01번(예장주차장~예장주차장),8502886,춘추문,5511 ,4342 
Jul-23,11110448,1,01번(예장주차장~예장주차장),8502887,경복궁.국립민속박물관,8212 ,3206 
Jul-23,11110448,1,01번(예장주차장~예장주차장),70171,안국역.인사동,5248 ,10557 
Jul-23,11110448,1,01번(예장주차장~예장주차장),8502577,남인사마당,3469 ,3729 
Jul-23,11110448,1,01번(예장주차장~예장주차장),70117,종로2가.삼일교,951 ,4125 
Jul-23,11110448,1,01번(예장주차장~예장주차장),9006461,남대문세무서.서울백병원,488 ,9708 
Jul-23,11110448,1,01번(예장주차장~예장주차장),8502715,남산예장버스환승주차장(종점가상),18 ,3511 
Jul-23,11110449,411,0411번(용산차고지~AT센터),8502898,서울드래곤시티,843 ,18 
Jul-23,11110449,411,0411번(용산차고지~AT센터),75986,용산전자상가.전자랜드,537 ,57 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9000275,원효로3가,1455 ,62 
Jul-23,11110449,411,0411번(용산차고지~AT센터),8000301,원효로2가사거리,397 ,85 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9000277,남정초등학교,946 ,150 
Jul-23,11110449,411,0411번(용산차고지~AT센터),14662,용산꿈나무종합타운.보건분소,1323 ,889 
Jul-23,11110449,411,0411번(용산차고지~AT센터),73693,효창공원앞역.이봉창역사울림관,7301 ,1367 
Jul-23,11110449,411,0411번(용산차고지~AT센터),8541,효창동주민센터.금양초등학교,1195 ,1139 
Jul-23,11110449,411,0411번(용산차고지~AT센터),8501150,효창공원삼거리.윤봉길의사등묘역,997 ,3890 
Jul-23,11110449,411,0411번(용산차고지~AT센터),8552,숙명여대후문.이봉창활동터,957 ,2221 
Jul-23,11110449,411,0411번(용산차고지~AT센터),8545,효창공원후문,2047 ,1569 
Jul-23,11110449,411,0411번(용산차고지~AT센터),8510,한겨레신문사입구,735 ,1428 
Jul-23,11110449,411,0411번(용산차고지~AT센터),33062,대한노인회,1130 ,1050 
Jul-23,11110449,411,0411번(용산차고지~AT센터),13067,효창운동장.효창동주민센터,996 ,193 
Jul-23,11110449,411,0411번(용산차고지~AT센터),8534,금양초등학교,1475 ,583 
Jul-23,11110449,411,0411번(용산차고지~AT센터),14659,효창공원앞역.이봉창역사울림관,6108 ,2317 
Jul-23,11110449,411,0411번(용산차고지~AT센터),14661,용산꿈나무종합타운.보건분소,1424 ,488 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9000278,원효로2가,2765 ,1062 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9000274,원효로3가,3689 ,1834 
Jul-23,11110449,411,0411번(용산차고지~AT센터),76491,원효풍전아파트,2402 ,1400 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9000367,성촌공원.포르쉐센터용산,2576 ,1989 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9000269,이촌2동주민센터,3679 ,2405 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9000267,이촌2동대림아파트.새남터성지,4093 ,1970 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9000266,이촌2동강변아파트,5776 ,2246 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9035323,이촌동동부센트레빌,1442 ,1542 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9000255,이촌1동충신교회앞,3834 ,3300 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9000257,이촌동한강맨션.이촌역,6547 ,5209 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9000259,신용산초등학교,4338 ,2879 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9000261,이촌동점보아파트,5988 ,2570 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9000263,금강병원.반도아파트,2493 ,2369 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9035283,서빙고신동아아파트,5248 ,3636 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9036883,동작대교전망카페,730 ,581 
Jul-23,11110449,411,0411번(용산차고지~AT센터),8002240,구반포역.세화고등학교,2065 ,4359 
Jul-23,11110449,411,0411번(용산차고지~AT센터),8002241,신반포역.세화여중고,3755 ,3807 
Jul-23,11110449,411,0411번(용산차고지~AT센터),8001908,고속터미널,16088 ,14107 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9005340,반포미도아파트앞,14641 ,14690 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9005338,법조단지,2227 ,4345 
Jul-23,11110449,411,0411번(용산차고지~AT센터),72584,지하철2호선교대역2,3135 ,10585 
Jul-23,11110449,411,0411번(용산차고지~AT센터),72585,서초동유원아파트,2198 ,2452 
Jul-23,11110449,411,0411번(용산차고지~AT센터),72586,롯데칠성,505 ,2834 
Jul-23,11110449,411,0411번(용산차고지~AT센터),8003143,신분당선강남역,1513 ,7032 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9006340,래미안아파트.파이낸셜뉴스(중),699 ,3287 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9035958,뱅뱅사거리,427 ,2163 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9006330,양재역.서초문화예술회관,1205 ,2442 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9006346,교육개발원입구,135 ,1495 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9002683,매헌시민의숲,20 ,1776 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9002681,AT센터.양재꽃시장,46 ,1955 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9002682,양재2동주민센터.양재꽃시장,3631 ,25 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9002676,언남고교,1598 ,74 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9006347,교육개발원입구,3206 ,613 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9006331,양재역.서초문화예술회관,2553 ,1658 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9006328,뱅뱅사거리,2583 ,486 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9006329,래미안아파트.파이낸셜뉴스(중),4859 ,1110 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9006339,신분당선강남역,7140 ,1807 
Jul-23,11110449,411,0411번(용산차고지~AT센터),73683,서초동진흥아파트,3180 ,1393 
Jul-23,11110449,411,0411번(용산차고지~AT센터),73684,서초동유원아파트,2629 ,2694 
Jul-23,11110449,411,0411번(용산차고지~AT센터),73685,지하철2호선교대역4번출구,7253 ,2971 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9005337,법조단지,2651 ,3618 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9035985,디에이치반포라클라스,4977 ,7529 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9035942,삼호가든사거리.반포도서관,11122 ,4366 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9636754,고속터미널,17027 ,14066 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9636749,신반포역.세화여중고,3498 ,3042 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9636753,구반포역.세화고등학교,1986 ,788 
Jul-23,11110449,411,0411번(용산차고지~AT센터),9036884,동작대교전망카페,282 ,652 
