사용월,노선ID,노선번호,노선명,버스정류장ID,버스정류장명,승차승객수,하차승객수
23-Nov,11110897,17,0017번(청암동~이촌동),8501292,청암자이아파트,531,9
23-Nov,11110897,17,0017번(청암동~이촌동),9003185,청암동강변삼성아파트,1948,36
23-Nov,11110897,17,0017번(청암동~이촌동),72983,청심경로당,2939,53
23-Nov,11110897,17,0017번(청암동~이촌동),72984,원효2동주민센터,5136,191
23-Nov,11110897,17,0017번(청암동~이촌동),72985,산천동,7154,274
23-Nov,11110897,17,0017번(청암동~이촌동),72986,신창동세방아파트,6081,233
23-Nov,11110897,17,0017번(청암동~이촌동),72987,남이장군사당,1529,1665
23-Nov,11110897,17,0017번(청암동~이촌동),72988,새마을금고,4101,3848
23-Nov,11110897,17,0017번(청암동~이촌동),33066,용문시장,5248,1566
23-Nov,11110897,17,0017번(청암동~이촌동),72990,용산전자상가입구,3173,1000
23-Nov,11110897,17,0017번(청암동~이촌동),72991,신용산지하차도,1040,2113
23-Nov,11110897,17,0017번(청암동~이촌동),72992,용산역,27934,21331
23-Nov,11110897,17,0017번(청암동~이촌동),72314,용산푸르지오써밋,1333,1701
23-Nov,11110897,17,0017번(청암동~이촌동),72993,한강대교북단,6348,5144
23-Nov,11110897,17,0017번(청암동~이촌동),72994,서부이촌동입구,2036,10583
23-Nov,11110897,17,0017번(청암동~이촌동),72995,이촌2동대림아파트.새남터성지,792,9798
23-Nov,11110897,17,0017번(청암동~이촌동),72996,이촌2동주민센터,776,6339
23-Nov,11110897,17,0017번(청암동~이촌동),72997,성촌공원.포르쉐센터용산,162,2043
23-Nov,11110897,17,0017번(청암동~이촌동),73000,이촌119안전센터.성촌공원,254,1815
23-Nov,11110897,17,0017번(청암동~이촌동),72998,원효2동산호아파트후문,201,2802
23-Nov,11110897,17,0017번(청암동~이촌동),8003000,청암동강변삼성아파트,2720,3610
23-Nov,11110897,17,0017번(청암동~이촌동),9003186,원효2동산호아파트,4295,866
23-Nov,11110897,17,0017번(청암동~이촌동),9000272,원효로풍전아파트,3029,413
23-Nov,11110897,17,0017번(청암동~이촌동),9000367,성촌공원.포르쉐센터용산,2873,1173
23-Nov,11110897,17,0017번(청암동~이촌동),9000269,이촌2동주민센터,7871,1069
23-Nov,11110897,17,0017번(청암동~이촌동),9000267,이촌2동대림아파트.새남터성지,10903,980
23-Nov,11110897,17,0017번(청암동~이촌동),9000266,이촌2동강변아파트,8064,3171
23-Nov,11110897,17,0017번(청암동~이촌동),9034958,한강대교북단.LG유플러스,7169,13027
23-Nov,11110897,17,0017번(청암동~이촌동),9034956,신용산역,4572,11155
23-Nov,11110897,17,0017번(청암동~이촌동),72972,신용산역,23899,10579
23-Nov,11110897,17,0017번(청암동~이촌동),72973,신용산지하차도,1119,4349
23-Nov,11110897,17,0017번(청암동~이촌동),72974,용산전자상가입구,770,4773
23-Nov,11110897,17,0017번(청암동~이촌동),8523,용문시장,2065,4628
23-Nov,11110897,17,0017번(청암동~이촌동),72976,새마을금고,6650,5039
23-Nov,11110897,17,0017번(청암동~이촌동),72977,남이장군사당,262,2526
23-Nov,11110897,17,0017번(청암동~이촌동),72978,신창동세방아파트,223,7874
23-Nov,11110897,17,0017번(청암동~이촌동),72979,산천동,148,6514
23-Nov,11110897,17,0017번(청암동~이촌동),72980,산천동리버힐삼성아파트,50,4741
23-Nov,11110897,17,0017번(청암동~이촌동),72981,삼성테마트,12,2159
23-Nov,11110897,17,0017번(청암동~이촌동),9003184,청암동강변삼성아파트,4,1427
23-Nov,11110897,17,0017번(청암동~이촌동),8601292,청암자이아파트(가상),6,312
23-Nov,11110448,1,01번(예장주차장~예장주차장),8502714,남산예장버스환승주차장,19642,3050
23-Nov,11110448,1,01번(예장주차장~예장주차장),72209,퇴계로3가.한옥마을.한국의집,8046,370
