사용월,노선ID,노선번호,노선명,버스정류장ID,버스정류장명,승차승객수,하차승객수
Sep-23,11110897,17,0017번(청암동~이촌동),8501292,청암자이아파트,485 ,19 
Sep-23,11110897,17,0017번(청암동~이촌동),9003185,청암동강변삼성아파트,1980 ,49 
Sep-23,11110897,17,0017번(청암동~이촌동),72983,청심경로당,2925 ,60 
Sep-23,11110897,17,0017번(청암동~이촌동),72984,원효2동주민센터,5084 ,168 
Sep-23,11110897,17,0017번(청암동~이촌동),72985,산천동,6975 ,266 
Sep-23,11110897,17,0017번(청암동~이촌동),72986,신창동세방아파트,6376 ,272 
Sep-23,11110897,17,0017번(청암동~이촌동),72987,남이장군사당,1609 ,1579 
Sep-23,11110897,17,0017번(청암동~이촌동),72988,새마을금고,4836 ,4025 
Sep-23,11110897,17,0017번(청암동~이촌동),33066,용문시장,5749 ,1742 
Sep-23,11110897,17,0017번(청암동~이촌동),72990,용산전자상가입구,3258 ,1082 
Sep-23,11110897,17,0017번(청암동~이촌동),72991,신용산지하차도,1351 ,2485 
Sep-23,11110897,17,0017번(청암동~이촌동),72992,용산역,27445 ,21728 
Sep-23,11110897,17,0017번(청암동~이촌동),72314,용산푸르지오써밋,1394 ,1827 
Sep-23,11110897,17,0017번(청암동~이촌동),72993,한강대교북단,6475 ,5304 
Sep-23,11110897,17,0017번(청암동~이촌동),72994,서부이촌동입구,1886 ,10914 
Sep-23,11110897,17,0017번(청암동~이촌동),72995,이촌2동대림아파트.새남터성지,862 ,9952 
Sep-23,11110897,17,0017번(청암동~이촌동),72996,이촌2동주민센터,755 ,5935 
Sep-23,11110897,17,0017번(청암동~이촌동),72997,성촌공원.포르쉐센터용산,163 ,1995 
Sep-23,11110897,17,0017번(청암동~이촌동),73000,이촌119안전센터.성촌공원,235 ,1786 
Sep-23,11110897,17,0017번(청암동~이촌동),72998,원효2동산호아파트후문,156 ,2581 
Sep-23,11110897,17,0017번(청암동~이촌동),8003000,청암동강변삼성아파트,2748 ,3560 
Sep-23,11110897,17,0017번(청암동~이촌동),9003186,원효2동산호아파트,4023 ,919 
