,brand,store,sido,gungu,address,phone
0,nene,강원춘천시퇴계점,강원,춘천시,강원 춘천시 춘주로 1,033-242-8119
1,nene,강원홍천군시동점,강원,홍천군,강원 홍천군 남면 시동안로 3,033-432-9288
2,nene,강원춘천시교동후평점,강원,춘천시,강원 춘천시 성심로 2,033-244-8892
3,nene,강원화천군산양리점,강원,화천군,강원 화천군 상서면 영서로 7,033-442-4484
4,nene,강원양구군동면점,강원,양구군,강원 양구군 동면 금강산로 1,033-482-2292
5,nene,강원영월군영월점,강원,영월군,강원 영월군 영월읍 은행나무길 5,033-375-9696
6,nene,강원강릉시초당점,강원,강릉시,강원 강릉시 초당원길 1,033-653-9298
7,nene,강원원주시단계점,강원,원주시,강원 원주시 원문로 1,033-748-0213
8,nene,강원원주시명륜점,강원,원주시,강원 원주시 남산로 3,033-761-9288
9,nene,강원태백시태백점,강원,태백시,강원 태백시 황지로 2,033-554-4494
10,nene,강원원주시단관점,강원,원주시,강원 원주시 단관초교길 7,033-748-9494
11,nene,강원속초시교동점,강원,속초시,강원 속초시 동해대로 4,033-633-4425
12,nene,강원속초시조양점,강원,속초시,강원 속초시 동해대로 3,033-637-4466
13,nene,강원원주시문막점,강원,원주시,강원 원주시 문막읍 건등로 4,033-734-4482
14,nene,강원동해시부곡점,강원,동해시,강원 동해시 발한로 9,033-534-9993
15,nene,강원양양군양양점,강원,양양군,강원 양양군 양양읍 양양로 8,033-673-4492
16,nene,충북단양군단양점,충북,단양군,충북 단양군 단양읍 삼봉로 2,"043-423-4482, 0"
17,nene,강원원주시오크밸리점,강원도,원주시,강원도 원주시 지정면 오크밸리1길 1,033-730-3737
18,nene,강원인제군서화점(B),강원,인제군,강원 인제군 서화면 천도로 1,033-462-4479
19,nene,강원화천군다목리점,강원,화천군,강원 화천군 상서면 수피령로 1,033-441-9288
20,nene,강원동해시망상점,강원,동해시,강원 동해시 동해대로 6,033-534-3377
21,nene,강원철원군자등리점,강원,철원군,강원 철원군 서면 자등로 5,033-458-9233
22,nene,강원홍천군대명비발디점,강원,홍천군,강원 홍천군 서면 한치골길 4,033-435-4479
23,nene,강원화천군화천점,강원,화천군,강원 화천군 화천읍 중앙 5,033-441-9233
24,nene,강원강릉시내곡점,강원,강릉시,강원 강릉시 범일로 5,033-643-9954
25,nene,강원원주시무실점,강원,원주시,강원 원주시 섬밭들길 2,033-746-4479
26,nene,강원동해시효가점,강원,동해시,강원 동해시 동해대로 5,033-521-2676
27,nene,강원태백시장성점,강원,태백시,강원 태백시 장성로 4,033-581-5677
28,nene,강원평창군대관령점,강원,평창군,강원 평창군 대관령면 경강로  5,033-335-9599
29,nene,강원평창군장평점,강원,평창군,강원 평창군 용평면 경강로 1,033-333-4491
30,nene,강원정선군정선점,강원,정선군,강원 정선군 정선읍 봉양길 6,033-562-4477
31,nene,강원철원군동송점,강원,철원군,강원 철원군 동송읍 금학로 2,033-456-0635
32,nene,강원철원군와수리점,강원,철원군,강원 철원군 서면 와수로 1,033-458-5332
33,nene,강원강릉시홍제점,강원,강릉시,강원 강릉시 홍제로 3,033-643-9993
34,nene,강원평창군봉평점,강원,평창군,강원 평창군 봉평면 태기로 6,033-334-5255
35,nene,강원강릉시솔올점,강원,강릉시,강원 강릉시 원대로 1,033-641-4560
36,nene,강원강릉시입암점,강원,강릉시,강원 강릉시 강변로 4,033-643-9976
37,nene,강원인제군현리점,강원,인제군,강원 인제군 기린면 내린천로 3,033-461-9294
38,nene,강원양구군양구점,강원,양구군,강원 양구군 양구읍 중앙길 1,033-481-9995
39,nene,강원춘천시강북점,강원,춘천시,강원 춘천시 충열로 7,033-252-0086
40,nene,강원횡성군횡성점,강원,횡성군,강원 횡성군 횡성읍 읍하로 2,033-344-4479
41,nene,강원철원군신철원점,강원,철원군,강원 철원군 갈말읍 삼부연로 1,033-452-9911
42,nene,강원인제군인제점,강원,인제군,강원 인제군 인제읍 인제로 1,033-463-7999
43,nene,강원동해시천곡점,강원,동해시,강원 동해시 한섬로 1,033-532-9591
44,nene,충북제천시강제점,충북,제천시,충북 제천시 청풍호로 1,"043-645-4479, 0"
45,nene,충북제천시청전점,충북,제천시,충북 제천시 의림대로 31길 3,"043-647-4479, 0"
46,nene,강원강릉시포남1점,강원,강릉시,강원 강릉시 성덕포남로 1,033-652-9976
47,nene,강원원주시혁신도시점,강원,원주시,강원 원주시 웅비2길  2,033-742-4479
48,nene,강원고성군고성간성점,강원,고성군,강원 고성군 간성읍 간성로 6,033-681-4479
49,nene,강원평창군진부점,강원,평창군,강원 평창군 진부면 진부중앙로 5,033-336-4492
50,nene,강원강릉시사천해변점,강원,강릉시,강원 강릉시 사천면 진리해변길 9,033-644-8881
51,nene,강원강릉시주문진점,강원,강릉시,강원 강릉시 주문진읍 주문로 1,033-661-4488
52,nene,경기포천시운천점,경기,포천시,경기 포천시 영북면 운천로 2,031-534-9293
53,nene,강원삼척시교동점,강원,삼척시,강원 삼척시 정상로 1,033-573-8000
54,nene,강원양양군하조대점,강원,양양군,강원 양양군 현북면 조준길 6,033-672-1658
55,nene,강원정선군고한점,강원,정선군,강원 정선군 고한읍 물한리길 8,033-936-9898
56,nene,강원인제군신남점,강원,인제군,강원 인제군 남면 신남로 4,033-461-0049
57,nene,강원강릉시노암점(C),강원,강릉시,강원 강릉시 율곡로 2,033-646-9979
58,nene,강원원주시기업도시점,강원,원주시,강원 원주시 지정면 신지정로 3,033-732-5979
59,nene,충북단양군매포읍점,충북,단양군,충북 단양군 충북 단양군 매포읍 단양로매포읍 단양로 1,043-423-4479
60,nene,강원춘천시효자점,강원,춘천시,강원 춘천시 서부대성로 1,033-256-0074
61,nene,강원철원군지경리점,강원,철원군,강원 철원군 갈말읍 청양로 8,033-458-3505
62,nene,강원원주시태장점,강원,원주시,강원 원주시 북원로 2,033-743-4479
63,nene,충북제천시제천1점,충북,제천시,충북 제천시 숭문로 7,043-643-0114
64,nene,충북제천시신백점,충북,제천시,충북 제천시 신백로 1,043-653-1113
65,nene,서울도봉구신창점,서울,도봉구,서울 도봉구 덕릉로 4,02-998-9592
66,nene,경기양주시광적점,경기,양주시,경기 양주시 광적면 삼일로 2,031-836-3436
67,nene,경기포천시신읍리점,경기,포천시,경기 포천시 왕방로 1,031-531-9280
68,nene,서울강북구미아점,서울,강북구,서울 강북구 삼양로 5,02-982-8292
